id,created_at,sid,developer,development,has_maid_room,has_air_conditioning,has_balcony_terrace,has_built_in_wadrobes,has_walk_in_closet,has_health_care_center,has_kids_play_area,has_laundry,has_sauna,has_spa,has_indoor_pool,has_lobby_reception,has_concierge,has_prayer_room,has_parking,garden,has_shared_pool,has_landmark_views,has_tennis_court,has_running_track,has_garden,has_outdoor_dining,has_outdoor_gymnasium,has_bbq_area,is_pet_friendly,property_name
1,2024-12-14 20:43:22.765166+00,SoSkyDu1000002,Sobha,Sobha Hartland II,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Skyscape Avenue
2,2024-12-14 20:43:22.765166+00,SoSobDu1000004,Sobha,Sobha Hartland,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,Sobha One
3,2024-12-14 20:43:22.765166+00,MeDesDu1000014,Meraas,Dubai Design District,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Design Quarter
4,2024-12-14 20:43:22.765166+00,MeRiwDu1000018,Meraas,Madinat Jumeirah Living,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Riwa Madinat Jumeirah Living
5,2024-12-14 20:43:22.765166+00,NaTheDu1000021,Nakheel,Palm Jebel Ali,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,The Coral Collection Villas
6,2024-12-14 20:43:22.765166+00,NaComDu1000031,Nakheel,Palm Jumeirah,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,Como Residences
7,2024-12-14 20:43:22.765166+00,ArArmDu1000032,Arada,Palm Jumeirah,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,Armani Beach Residences
8,2024-12-14 20:43:22.765166+00,RAQuaRa1000033,RAK Properties,Hayat Island,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,Quattro Del Mar
9,2024-12-14 20:43:22.765166+00,SoSelUm1000034,Sobha,Selene Beach Residences,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,Selene Beach Residences
10,2024-12-14 20:43:22.765166+00,SoSobDu1000037,Sobha,Sobha Elwood,true,true,true,true,true,false,true,false,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Sobha Elwood
11,2024-12-14 20:43:22.765166+00,NaPalDu1000039,Nakheel,Palm Jumeirah,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Palm Beach Towers
12,2024-12-14 20:43:22.765166+00,ArW RDu1000040,Arada,W Residences,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,W Residences at Dubai Harbour
13,2024-12-14 20:43:22.765166+00,ArTheSh1000001,Arada,Aljada,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,The Boulevard
14,2024-12-14 20:43:22.765166+00,ArNesSh1000003,Arada,Aljada,false,true,true,true,false,true,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,The Nest
15,2024-12-14 20:43:22.765166+00,ArRehSh1000005,Arada,Aljada,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Rehan
16,2024-12-14 20:43:22.765166+00,So330Du1000006,Sobha,Sobha Hartland II,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,330 Riverside Crescent
17,2024-12-14 20:43:22.765166+00,ArMisSh1000007,Arada,Aljada,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Misk
18,2024-12-14 20:43:22.765166+00,ArSarSh1000008,Arada,Aljada,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Sarab
19,2024-12-14 20:43:22.765166+00,So360Du1000009,Sobha,Sobha Hartland II,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,360 Riverside Crescent
20,2024-12-14 20:43:22.765166+00,ArSokSh1000010,Arada,Aljada,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Sokoon 3
21,2024-12-14 20:43:22.765166+00,ArSokSh1000011,Arada,Aljada,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Sokoon 4
22,2024-12-14 20:43:22.765166+00,ArSokSh1000012,Arada,Aljada,false,true,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,Sokoon 5
