id,created_at,sid,property_name,location,latitude,longitude,nearby_hospitals,nearby_schools,nearby_landmarks
1,2025-01-10 16:49:25.875193+00,SoSkyDu1000002,Skyscape Avenue,"Sobha Hartland II, Dubai",25.70601964,55.24636084,Mediclinic City Hospital (2.5km) || Iranian Hospital (2.5km) || Aster Hospital Mankhool (2.5km),Hartland International School (2.5km) || GEMS Wellington School (2.5km) || Kings School Dubai (2.5km),Dubai Creek Harbour (2.5km) || Meydan One Mall (2.5km) || Ras Al Khor Wildlife Sanctuary (2.5km)
2,2025-01-10 16:49:25.875193+00,SoSobDu1000004,Sobha One,"Ras Al Khor, Dubai",25.18342414,55.33664035,5-10km: Saudi German Hospital (6.32km) || Dubai Hospital (6.32km) || NMC Royal Hospital (6.59km) || Aster Hospital (7.44km) || Al Zahra Hospital (7.97km) || Medcare Hospital (7.97km) || Mediclinic City Hospital (8.35km) || Iranian Hospital Dubai (9.14km) || Rashid Hospital (9.14km) || Canadian Specialist Hospital (9.79km),Hartland International School (0.99km) || 5-10km: Dubai International School (6.32km) || GEMS Modern Academy (6.32km) || Kings School Dubai (8.0km) || GEMS Wellington International School (8.45km) || Repton School Dubai (8.45km) || Dubai English Speaking School (9.07km),Dubai Festival City Mall (4.63km) || 5-10km: Dubai Opera (6.35km) || Dubai Mall (6.45km) || Burj Khalifa (6.45km) || Dubai Frame (6.83km) || Dubai Creek (7.04km)
3,2025-01-10 16:49:25.875193+00,MeDesDu1000014,Design Quarter,"Dubai Design District, Dubai",25.18654165,55.29651817,Al Zahra Hospital (4.22km) || Medcare Hospital (4.22km) || Mediclinic City Hospital (4.54km) || 5-10km: Saudi German Hospital (5.97km) || Dubai Hospital (5.97km) || Iranian Hospital Dubai (6.13km) || Rashid Hospital (6.13km) || NMC Royal Hospital (6.86km) || Aster Hospital (7.84km),Hartland International School (3.33km) || Kings School Dubai (4.18km) || GEMS Wellington International School (4.71km) || Repton School Dubai (4.71km) || 5-10km: Dubai International School (5.97km) || GEMS Modern Academy (5.97km) || Dubai English Speaking School (6.43km),Dubai Opera (2.33km) || Dubai Mall (2.52km) || Burj Khalifa (2.52km) || Dubai Creek (3.29km) || 5-10km: Dubai Frame (5.42km) || Dubai Festival City Mall (6.71km)
4,2025-01-10 16:49:25.875193+00,MeRiwDu1000018,Riwa at Madinat Jumeirah Living,"Jumeriah, Dubai",25.12997018,55.19507272,Saudi German Hospital (2.5km) || Mediclinic Jumeirah (3.1km) || Iranian Hospital Dubai (3.8km),Jumeirah College (1.8km) || Dubai College (2.5km) || American School of Dubai (3.2km),Madinat Jumeirah (1.2km) || Wild Wadi Waterpark (1.5km) || Burj Al Arab (2.0km)
5,2025-01-10 16:49:25.875193+00,NaTheDu1000021,The Coral Collection Villas,"Palm Jebel Ali, Dubai",25.00389521,55.0005124,NMC Royal Hospital DIP (2.5km) || Saudi German Hospital (2.5km) || Aster Hospital Discovery Gardens (2.5km),GEMS United School (2.5km) || Jebel Ali School (2.5km) || Dubai International School (2.5km),Ibn Battuta Mall (2.5km) || Discovery Gardens (2.5km) || Jebel Ali Port (2.5km)
6,2025-01-10 16:49:25.875193+00,NaComDu1000031,Como Residences,"Palm Jumeriah, Dubai",25.11105956,55.14653784,Saudi German Hospital Marina (3.5km) || Kings College Hospital (4.2km) || NMC Royal Hospital Dubai (5.1km),Regent International School (4.1km) || Dubai College (5.2km) || GEMS Wellington Academy (5.5km),Atlantis The Palm (2.0km) || The Pointe (1.5km) || Palm West Beach (1.0km) || Nakheel Mall (2.5km)
7,2025-01-10 16:49:25.875193+00,ArArmDu1000032,Armani Beach Residences,"Palm Jumeirah, Dubai",25.1384096,55.14729206,Saudi German Hospital Marina (3.5km) || Kings College Hospital (4.2km) || NMC Royal Hospital Dubai (5.1km),Regent International School (4.1km) || Dubai College (5.2km) || GEMS Wellington Academy (5.5km),Atlantis The Palm (2.0km) || The Pointe (1.5km) || Palm West Beach (1.0km) || Nakheel Mall (2.5km)
8,2025-01-10 16:49:25.875193+00,RAQuaRa1000033,Quattro Del Mar,"Hayat Island, Ras Al Khaimah",25.71950976,55.84104022,RAK Hospital (2.5km) || Ibrahim Bin Hamad Obaidullah Hospital (2.5km) || Saudi German Hospital RAK (2.5km),RAK Academy (2.5km) || GEMS Westminster School RAK (2.5km) || Indian Public School (2.5km),Al Marjan Island (2.5km) || RAK Mall (2.5km) || Hayat Island Beach (2.5km)
9,2025-01-10 16:49:25.875193+00,SoSelUm1000034,Selene Beach Residences,"Al Seanneeah, Umm Al Quwain",25.6041667,55.6277778,Umm Al Quwain Hospital (3.5km) || Sheikh Khalifa General Hospital (5.2km) || UAQ Specialized Dental Center (4.1km),Emirates National School UAQ (3.2km) || Dubai Modern Education School (4.5km) || UAQ Indian School (5.1km),Dreamland Aqua Park (2.5km) || UAQ Marine Club (3.0km) || Umm Al Quwain Beach (1.5km)
10,2025-01-10 16:49:25.875193+00,SoSobDu1000037,Sobha Elwood,"Dubailand, Dubai",25.02082724,55.44952927,Saudi German Hospital (4.5km) || NMC Royal Hospital (5.2km) || Canadian Specialist Hospital (6.0km),GEMS Modern Academy (3.5km) || Dubai International School (4.2km) || Kent College Dubai (4.8km),Global Village (3.5km) || Dubai Miracle Garden (4.0km) || IMG Worlds of Adventure (4.5km)
